dataset,method,num_markers,n_runs,celltype_knn_accuracy_mean,celltype_knn_accuracy_std,time_knn_pearson_mean,time_knn_pearson_std,spatial_pearson_mean,spatial_pearson_std,knn_overlap_mean_avg_mean,knn_overlap_mean_avg_std
elegans_mirna,spapros,24,2,0.36614161767869274,0.0044730707728693215,0.923497062062777,0.0035677113345225497,,,0.46498666666666655,0.004186072144624309
elegans_mirna,SMITH_local_refine_round13_trial0022_validated,32,5,0.40290990936841065,0.010707590998475914,0.9727612113576225,0.003954733276518707,,,0.5862266666666667,0.030750534683698375
elegans_mirna,SMITH_overlap_guarded_postfix_validated,32,5,0.3894086731907109,0.00916920043385251,0.9590996523693205,0.01532467144815253,,,0.7380826666666667,0.019017014078041877
elegans_mirna,SMITH_overlap_guarded_v1_live_validated,32,5,0.3994770848695451,0.011460624189764798,0.967818220991213,0.003660385355629125,,,0.7387193333333333,0.03477744586813572
elegans_mirna,activeSVM,32,5,0.40735751793980485,0.006379559232516331,0.9744323774201764,0.003961673914044151,,,0.550944,0.017329931461042836
elegans_mirna,persist_sup,32,5,0.3993397081457477,0.011392452252231141,0.9702031843175085,0.002647270606300659,,,0.6060166666666666,0.017346924639383386
elegans_mirna,persist_unsup,32,5,0.3949508323598624,0.011290662449092487,0.9675552714605973,0.00322024281328303,,,0.6524806666666667,0.03524012780592294
elegans_mirna,scGIST,32,5,0.3806205332795236,0.01737986462078499,0.9594251231853402,0.007523812000359918,,,0.6660539999999999,0.02791125931710475
elegans_mirna,scGeneFit,32,5,0.40283139039543714,0.007703419606943327,0.971336683706889,0.003106652673717828,,,0.7394246666666667,0.03343999124468256
elegans_mirna,spapros,32,2,0.3943310031464238,0.00021695354602982043,0.9707599472075437,0.0009220054169113805,,,0.600765,0.0034813223860416915
elegans_tf,activeSVM,16,5,0.4801879330615759,0.030051524289660087,0.7931103373130212,0.029658331542243035,0.5415497541427612,0.04545501605736677,0.39112199999999997,0.010511459513840674
